,learn_par_d,diff_par_b,num_sess,num_probs,num_atts,num_hints,frac_corr_atts,time_atts,time_hints,probl_views,atts_at_step,avg_time_att,avg_time_hint
0,1.583903630002985,0.5815055544459288,4.0,4.0,15.0,21.0,0.7333333333333333,664.0,1182.0,1.0,3.25,44.266666666666666,56.285714285714285
1,0.10974180578598736,0.3762523094879242,43.0,43.0,88.0,16.0,0.6363636363636364,8053.0,1635.0,1.0930232558139534,1.7906976744186047,91.51136363636364,102.1875
2,0.10532567336664637,0.4633315292468644,36.0,34.0,131.0,48.0,0.5572519083969466,4740.0,1055.0,1.1176470588235294,2.7941176470588234,36.18320610687023,21.979166666666668
3,0.1667983015294803,0.5033223377142426,7.0,6.0,23.0,2.0,0.5217391304347826,2126.0,153.0,1.5,2.1666666666666665,92.43478260869566,76.5
4,0.5246560161990593,1.1540581330209754,4.0,3.0,43.0,32.0,0.27906976744186046,1035.0,452.0,1.0,6.333333333333333,24.069767441860463,14.125
5,1.9248350294103025,0.7743346457471678,11.0,10.0,30.0,34.0,0.6666666666666666,1360.0,1164.0,1.1,3.2,45.333333333333336,34.23529411764706
6,0.5,0.0010000000000000009,4.0,4.0,4.0,0.0,1.0,685.0,0.0,1.0,1.0,171.25,0.0
7,-0.13078697948909487,0.3467147016950647,6.0,6.0,19.0,9.0,0.631578947368421,739.0,73.0,1.0,1.8333333333333333,38.89473684210526,8.11111111111111
8,0.7309061696568464,0.6115355693349105,23.0,18.0,81.0,61.0,0.5555555555555556,3077.0,1423.0,1.1666666666666667,3.0555555555555554,37.98765432098765,23.327868852459016
9,-0.31712065960457453,0.40226812158334013,18.0,13.0,38.0,14.0,0.47368421052631576,2298.0,900.0,1.3076923076923077,2.6923076923076925,60.473684210526315,64.28571428571429
10,0.15161754314378095,0.5376733998492605,180.0,167.0,617.0,140.0,0.49756888168557534,17891.0,2190.0,1.0658682634730539,2.6467065868263475,28.996758508914102,15.642857142857142
11,0.019695458109500595,0.489207719235755,43.0,39.0,173.0,12.0,0.5144508670520231,13081.0,837.0,1.1538461538461537,2.3333333333333335,75.61271676300578,69.75
12,-0.2138930358760258,0.3746891824876233,17.0,15.0,78.0,11.0,0.5897435897435898,5392.0,1546.0,1.2,2.2,69.12820512820512,140.54545454545453
13,0.3966299466063194,0.6318394737551349,71.0,59.0,291.0,177.0,0.4845360824742268,13542.0,4613.0,1.2372881355932204,3.559322033898305,46.5360824742268,26.062146892655367
14,0.36964057396847777,0.68581638324226,16.0,13.0,74.0,52.0,0.47297297297297297,4040.0,3213.0,1.3846153846153846,4.076923076923077,54.5945945945946,61.78846153846154
15,-0.10751258874095775,0.494786444150298,9.0,8.0,23.0,9.0,0.4782608695652174,931.0,158.0,1.0,2.125,40.47826086956522,17.555555555555557
16,-0.005275908037023348,0.8842863549511497,13.0,3.0,36.0,12.0,0.1111111111111111,2176.0,221.0,5.333333333333333,5.333333333333333,60.44444444444444,18.416666666666668
17,0.22624161956053818,0.43529608364833633,65.0,61.0,252.0,95.0,0.5992063492063492,17440.0,4244.0,1.2622950819672132,2.721311475409836,69.2063492063492,44.67368421052632
18,0.5,0.0010000000000000009,2.0,2.0,4.0,1.0,1.0,51.0,38.0,1.0,1.0,12.75,38.0
19,-0.08078905956475288,0.3222169126817786,21.0,19.0,57.0,26.0,0.6666666666666666,2680.0,1037.0,1.105263157894737,2.526315789473684,47.01754385964912,39.88461538461539
20,0.1634069813323015,0.5906845392152007,5.0,4.0,23.0,19.0,0.4782608695652174,1428.0,576.0,1.0,5.25,62.08695652173913,30.31578947368421
21,-0.07676527838569502,0.41159393693848845,118.0,106.0,387.0,104.0,0.5736434108527132,14170.0,3306.0,1.1226415094339623,2.4245283018867925,36.61498708010336,31.78846153846154
22,1.3279198060651347,0.6905047464647506,26.0,25.0,102.0,108.0,0.6176470588235294,1804.0,1087.0,1.12,3.2,17.686274509803923,10.064814814814815
23,0.7516113748586385,0.6064195461218294,14.0,10.0,46.0,43.0,0.5652173913043478,1281.0,336.0,1.1,3.6,27.847826086956523,7.813953488372093
24,0.5,0.0010000000000000009,4.0,4.0,4.0,0.0,1.0,111.0,0.0,1.0,1.0,27.75,0.0
25,0.16378393572981323,0.679628536197596,40.0,33.0,161.0,44.0,0.37888198757763975,8075.0,2926.0,1.393939393939394,3.303030303030303,50.15527950310559,66.5
26,0.3593945995595898,0.7307151216478799,18.0,15.0,92.0,51.0,0.41304347826086957,4988.0,1153.0,1.7333333333333334,4.266666666666667,54.21739130434783,22.607843137254903
27,0.4693385387142011,0.6513520260032618,22.0,19.0,103.0,92.0,0.5242718446601942,5067.0,1672.0,1.1578947368421053,3.8947368421052633,49.19417475728155,18.17391304347826
28,-0.18166261217173096,0.3712909294355108,122.0,113.0,291.0,75.0,0.5945017182130584,12335.0,997.0,1.079646017699115,1.9646017699115044,42.38831615120275,13.293333333333333
29,-0.134243377476658,0.44392095886913163,79.0,68.0,211.0,27.0,0.5308056872037915,16010.0,2262.0,1.1764705882352942,2.1470588235294117,75.87677725118483,83.77777777777777
30,0.5911494451721383,0.6178777230363608,54.0,46.0,200.0,201.0,0.565,5736.0,2731.0,1.173913043478261,3.739130434782609,28.68,13.587064676616915
31,1.254405785608956,0.9166098820927342,3.0,3.0,14.0,19.0,0.5,986.0,617.0,1.0,4.0,70.42857142857143,32.473684210526315
32,-0.027914292318791577,0.3958565125079372,15.0,15.0,45.0,6.0,0.6,2320.0,61.0,1.0,2.066666666666667,51.55555555555556,10.166666666666666
